航班号,始发地,起飞时刻,到达时刻,目的地,飞行时间,机型,票价,折扣,每班载量,剩余载量
MU2607,广州,7:45,14:05,名古屋,7:20,738,651,0.91,110,92
CZ3131,广州,7:55,10:55,石家庄,3:00,738,862,0.62,100,86
ZH9663,广州,8:50,18:10,墨尔本,10:20,321,579,0.85,95,62
CZ3339,广州,9:05,13:00,青岛,3:55,787,631,0.83,110,53
CZ3892,广州,9:55,11:55,郑州,2:00,738,562,0.86,90,45
HU7838,广州,12:05,14:45,西安,2:40,738,532,0.89,110,41
MU2491,广州,13:55,15:50,长沙,1:55,738,436,0.73,120,89
CZ3939,广州,15:40,16:40,慕尼黑,13:00,319,473,0.91,110,92
MU2870,广州,16:25,1:45,莫斯科,9:20,320,470,0.68,115,98
CZ3991,广州,17:15,4:00,旧金山,10:45,319,670,0.75,90,94
CZ3165,广州,19:10,23:30,吉隆坡,4:20,319,779,0.92,115,86

